id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,30,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
2,VariableDeclaration,,-1,-1,1,0,1,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
4,Identifier,jws,-1,-1,1,4,1,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
5,CallExpression,require,-1,1,1,10,1,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
6,Identifier,require,-1,-1,1,10,1,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
10,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
11,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
12,FunctionExpression,,2,-1,3,17,30,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
13,Identifier,jwt,-1,-1,3,27,3,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
14,Identifier,options,-1,-1,3,32,3,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
19,ObjectExpression,,-1,-1,4,23,4,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
20,VariableDeclaration,,-1,-1,5,2,5,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
22,Identifier,decoded,-1,-1,5,6,5,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
23,CallExpression,decode,-1,2,5,16,5,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
25,Identifier,decode,-1,-1,5,20,5,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
26,IfStatement,,-1,-1,6,2,6,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
27,UnaryExpression,,-1,-1,6,6,6,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
29,ReturnStatement,,-1,-1,6,18,6,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
30,VariableDeclaration,,-1,-1,7,2,7,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
32,Identifier,payload,-1,-1,7,6,7,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
34,IfStatement,,-1,-1,10,2,17,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
36,UnaryExpression,,-1,-1,10,5,10,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
38,TryStatement,,-1,-1,11,4,16,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
40,VariableDeclaration,,-1,-1,12,6,12,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
42,Identifier,obj,-1,-1,12,10,12,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
43,CallExpression,parse,-1,1,12,16,12,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
45,Identifier,JSON,-1,-1,12,16,12,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
46,Identifier,parse,-1,-1,12,21,12,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
47,IfStatement,,-1,-1,13,6,15,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
51,UnaryExpression,,-1,-1,13,25,13,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
55,CatchClause,,-1,-1,16,6,16,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
56,Identifier,e,-1,-1,16,13,16,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
58,IfStatement,,-1,-1,22,2,28,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
61,Identifier,complete,-1,-1,22,14,22,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
63,ReturnStatement,,-1,-1,23,4,27,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
64,ObjectExpression,,-1,-1,23,11,27,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
66,Identifier,header,-1,-1,24,6,24,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
70,Identifier,signature,-1,-1,26,6,26,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
72,ReturnStatement,,-1,-1,29,2,29,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/decode.js
73,Program,,-1,-1,1,0,8,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
77,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
78,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
79,ObjectExpression,,-1,-1,1,17,8,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
81,Identifier,decode,-1,-1,2,2,2,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
82,CallExpression,require,-1,1,2,10,2,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
83,Identifier,require,-1,-1,2,10,2,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
85,Identifier,verify,-1,-1,3,2,3,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
86,CallExpression,require,-1,1,3,10,3,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
88,Identifier,sign,-1,-1,4,2,4,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
89,CallExpression,require,-1,1,4,8,4,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
91,Identifier,JsonWebTokenError,-1,-1,5,2,5,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
92,CallExpression,require,-1,1,5,21,5,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
94,Identifier,NotBeforeError,-1,-1,6,2,6,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
95,CallExpression,require,-1,1,6,18,6,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
97,Identifier,TokenExpiredError,-1,-1,7,2,7,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
98,CallExpression,require,-1,1,7,21,7,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/index.js
99,Program,,-1,-1,1,0,14,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
100,VariableDeclaration,,-1,-1,1,0,9,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
102,Identifier,JsonWebTokenError,-1,-1,1,4,1,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
103,FunctionExpression,,2,-1,1,24,9,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
104,Identifier,message,-1,-1,1,34,1,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
105,Identifier,error,-1,-1,1,43,1,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
108,CallExpression,call,-1,2,2,2,2,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
110,Identifier,Error,-1,-1,2,2,2,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
111,Identifier,call,-1,-1,2,8,2,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
113,IfStatement,,-1,-1,3,2,5,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
115,Identifier,captureStackTrace,-1,-1,3,11,3,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
118,CallExpression,captureStackTrace,-1,2,4,4,4,51,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
123,Identifier,constructor,-1,-1,4,39,4,50,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
128,Identifier,name,-1,-1,6,7,6,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
133,IfStatement,,-1,-1,8,2,8,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
138,Identifier,inner,-1,-1,8,18,8,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
142,Identifier,prototype,-1,-1,11,18,11,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
143,CallExpression,create,-1,1,11,30,11,60,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
145,Identifier,Object,-1,-1,11,30,11,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
146,Identifier,create,-1,-1,11,37,11,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
155,Identifier,module,-1,-1,14,0,14,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
156,Identifier,exports,-1,-1,14,7,14,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/JsonWebTokenError.js
157,Program,,-1,-1,1,0,13,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
158,VariableDeclaration,,-1,-1,1,0,1,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
160,Identifier,JsonWebTokenError,-1,-1,1,4,1,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
161,CallExpression,require,-1,1,1,24,1,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
162,Identifier,require,-1,-1,1,24,1,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
163,VariableDeclaration,,-1,-1,3,0,7,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
165,Identifier,NotBeforeError,-1,-1,3,4,3,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
166,FunctionExpression,,2,-1,3,21,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
167,Identifier,message,-1,-1,3,31,3,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
168,Identifier,date,-1,-1,3,40,3,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
171,CallExpression,call,-1,2,4,2,4,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
173,Identifier,call,-1,-1,4,20,4,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
179,Identifier,name,-1,-1,5,7,5,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
187,Identifier,prototype,-1,-1,9,15,9,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
188,CallExpression,create,-1,1,9,27,9,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
190,Identifier,Object,-1,-1,9,27,9,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
191,Identifier,create,-1,-1,9,34,9,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
197,Identifier,constructor,-1,-1,11,25,11,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
201,Identifier,module,-1,-1,13,0,13,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
202,Identifier,exports,-1,-1,13,7,13,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/NotBeforeError.js
203,Program,,-1,-1,1,0,13,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
204,VariableDeclaration,,-1,-1,1,0,1,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
206,Identifier,JsonWebTokenError,-1,-1,1,4,1,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
207,CallExpression,require,-1,1,1,24,1,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
208,Identifier,require,-1,-1,1,24,1,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
209,VariableDeclaration,,-1,-1,3,0,7,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
211,Identifier,TokenExpiredError,-1,-1,3,4,3,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
212,FunctionExpression,,2,-1,3,24,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
213,Identifier,message,-1,-1,3,34,3,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
214,Identifier,expiredAt,-1,-1,3,43,3,52,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
217,CallExpression,call,-1,2,4,2,4,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
219,Identifier,call,-1,-1,4,20,4,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
225,Identifier,name,-1,-1,5,7,5,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
233,Identifier,prototype,-1,-1,9,18,9,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
234,CallExpression,create,-1,1,9,30,9,72,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
236,Identifier,Object,-1,-1,9,30,9,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
237,Identifier,create,-1,-1,9,37,9,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
243,Identifier,constructor,-1,-1,11,28,11,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
247,Identifier,module,-1,-1,13,0,13,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
248,Identifier,exports,-1,-1,13,7,13,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/TokenExpiredError.js
249,Program,,-1,-1,1,0,3,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
250,VariableDeclaration,,-1,-1,1,0,1,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
252,Identifier,semver,-1,-1,1,6,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
253,CallExpression,require,-1,1,1,15,1,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
254,Identifier,require,-1,-1,1,15,1,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
258,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
259,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
260,CallExpression,satisfies,-1,2,3,17,3,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
262,Identifier,satisfies,-1,-1,3,24,3,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
264,Identifier,process,-1,-1,3,34,3,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
265,Identifier,version,-1,-1,3,42,3,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/asymmetricKeyDetailsSupported.js
266,Program,,-1,-1,1,0,3,73,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
267,VariableDeclaration,,-1,-1,1,0,1,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
269,Identifier,semver,-1,-1,1,4,1,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
270,CallExpression,require,-1,1,1,13,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
271,Identifier,require,-1,-1,1,13,1,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
275,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
276,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
277,CallExpression,satisfies,-1,2,3,17,3,72,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
279,Identifier,satisfies,-1,-1,3,24,3,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
281,Identifier,process,-1,-1,3,34,3,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
282,Identifier,version,-1,-1,3,42,3,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/psSupported.js
283,Program,,-1,-1,1,0,3,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
284,VariableDeclaration,,-1,-1,1,0,1,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
286,Identifier,semver,-1,-1,1,6,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
287,CallExpression,require,-1,1,1,15,1,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
288,Identifier,require,-1,-1,1,15,1,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
292,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
293,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
294,CallExpression,satisfies,-1,2,3,17,3,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
296,Identifier,satisfies,-1,-1,3,24,3,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
298,Identifier,process,-1,-1,3,34,3,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
299,Identifier,version,-1,-1,3,42,3,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/rsaPssKeyDetailsSupported.js
300,Program,,-1,-1,1,0,18,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
301,VariableDeclaration,,-1,-1,1,0,1,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
303,Identifier,ms,-1,-1,1,4,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
304,CallExpression,require,-1,1,1,9,1,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
305,Identifier,require,-1,-1,1,9,1,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
309,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
310,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
311,FunctionExpression,,2,-1,3,17,18,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
312,Identifier,time,-1,-1,3,27,3,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
313,Identifier,iat,-1,-1,3,33,3,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
315,VariableDeclaration,,-1,-1,4,2,4,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
317,Identifier,timestamp,-1,-1,4,6,4,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
319,CallExpression,floor,-1,1,4,25,4,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
321,Identifier,Math,-1,-1,4,25,4,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
322,Identifier,floor,-1,-1,4,30,4,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
324,CallExpression,now,-1,0,4,36,4,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
326,Identifier,Date,-1,-1,4,36,4,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
327,Identifier,now,-1,-1,4,41,4,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
328,IfStatement,,-1,-1,6,2,16,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
330,UnaryExpression,,-1,-1,6,6,6,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
332,VariableDeclaration,,-1,-1,7,4,7,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
334,Identifier,milliseconds,-1,-1,7,8,7,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
335,CallExpression,ms,-1,1,7,23,7,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
336,IfStatement,,-1,-1,8,4,10,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
338,UnaryExpression,,-1,-1,8,8,8,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/lib/timespan.js
