id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,40,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
2,VariableDeclaration,,-1,-1,1,0,1,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
4,ObjectPattern,,-1,-1,1,6,1,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
6,Identifier,NODE_ENV,-1,-1,1,8,1,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
8,Identifier,BABEL_ENV,-1,-1,1,18,1,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
10,Identifier,process,-1,-1,1,32,1,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
11,Identifier,env,-1,-1,1,40,1,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
12,VariableDeclaration,,-1,-1,2,0,2,59,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
14,Identifier,cjs,-1,-1,2,6,2,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
21,Identifier,module,-1,-1,4,0,4,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
22,Identifier,exports,-1,-1,4,7,4,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
23,ObjectExpression,,-1,-1,4,17,40,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
25,Identifier,presets,-1,-1,5,2,5,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
26,ArrayExpression,,-1,-1,5,11,19,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
27,ArrayExpression,,-1,-1,6,4,17,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
28,ObjectExpression,,-1,-1,8,6,16,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
30,Identifier,targets,-1,-1,9,8,9,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
31,ObjectExpression,,-1,-1,9,17,11,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
33,Identifier,esmodules,-1,-1,10,10,10,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
35,Identifier,bugfixes,-1,-1,13,8,13,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
37,Identifier,modules,-1,-1,14,8,14,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
39,Identifier,loose,-1,-1,15,8,15,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
41,Identifier,plugins,-1,-1,20,2,20,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
42,CallExpression,filter,-1,1,20,11,36,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
44,ArrayExpression,,-1,-1,20,11,36,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
45,ArrayExpression,,-1,-1,21,4,21,52,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
46,ObjectExpression,,-1,-1,21,35,21,51,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
48,Identifier,legacy,-1,-1,21,37,21,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
49,ArrayExpression,,-1,-1,23,4,23,64,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
50,ObjectExpression,,-1,-1,23,48,23,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
52,ArrayExpression,,-1,-1,24,4,24,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
53,ObjectExpression,,-1,-1,24,47,24,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
55,ArrayExpression,,-1,-1,25,4,25,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
56,ObjectExpression,,-1,-1,25,58,25,73,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
59,ArrayExpression,,-1,-1,26,11,26,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
60,ArrayExpression,,-1,-1,27,4,35,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
61,ObjectExpression,,-1,-1,29,6,34,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
63,Identifier,useESModules,-1,-1,30,8,30,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/react-redux/.babelrc.js
