id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,1,0,7,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/.eslintrc.js,0
5,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/.eslintrc.js,1
6,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/.eslintrc.js,2
7,ObjectExpression,,-1,-1,1,17,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/.eslintrc.js,3
9,Identifier,root,-1,-1,2,2,2,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/.eslintrc.js,4
11,Identifier,extends,-1,-1,3,2,3,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/.eslintrc.js,5
12,ArrayExpression,,-1,-1,3,11,3,65,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/.eslintrc.js,6
14,Identifier,parserOptions,-1,-1,4,2,4,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/.eslintrc.js,7
15,ObjectExpression,,-1,-1,4,17,6,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/.eslintrc.js,8
17,Identifier,ecmaVersion,-1,-1,5,4,5,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/.eslintrc.js,9
18,Program,,-1,-1,1,0,19,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,10
19,VariableDeclaration,,-1,-1,1,0,1,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,11
21,Identifier,MIN_BABEL_VERSION,-1,-1,1,6,1,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,12
25,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,13
26,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,14
27,ArrowFunctionExpression,,1,-1,3,17,19,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,15
28,Identifier,api,-1,-1,3,18,3,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,16
31,CallExpression,assertVersion,-1,1,4,2,4,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,17
33,Identifier,assertVersion,-1,-1,4,6,4,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,18
35,CallExpression,cache,-1,1,5,2,5,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,19
37,Identifier,cache,-1,-1,5,6,5,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,20
38,ReturnStatement,,-1,-1,7,2,18,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,21
39,ObjectExpression,,-1,-1,7,9,18,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,22
41,Identifier,presets,-1,-1,8,4,8,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,23
42,ArrayExpression,,-1,-1,8,13,17,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,24
43,ArrayExpression,,-1,-1,9,6,16,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,25
44,ObjectExpression,,-1,-1,11,8,15,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,26
46,Identifier,targets,-1,-1,12,10,12,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,27
47,ObjectExpression,,-1,-1,12,19,14,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,28
49,Identifier,node,-1,-1,13,12,13,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/babel.config.js,29
50,Program,,-1,-1,1,0,8,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,30
54,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,31
55,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,32
56,ObjectExpression,,-1,-1,1,17,8,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,33
58,Identifier,extends,-1,-1,2,2,2,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,34
59,ArrayExpression,,-1,-1,2,11,2,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,35
61,Identifier,rules,-1,-1,3,2,3,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,36
62,ObjectExpression,,-1,-1,3,9,7,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,37
64,ArrayExpression,,-1,-1,4,25,4,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,38
66,ArrayExpression,,-1,-1,5,28,5,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,39
68,ArrayExpression,,-1,-1,6,30,6,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/commitlint.config.js,40
69,Program,,-1,-1,1,0,3,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/jest.config.js,41
73,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/jest.config.js,42
74,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/jest.config.js,43
75,ObjectExpression,,-1,-1,1,17,3,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/jest.config.js,44
77,Identifier,testEnvironment,-1,-1,2,2,2,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/jest.config.js,45
78,Program,,-1,-1,1,0,4,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/lint-staged.config.js,46
82,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/lint-staged.config.js,47
83,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/lint-staged.config.js,48
84,ObjectExpression,,-1,-1,1,17,4,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/lint-staged.config.js,49
86,ArrayExpression,,-1,-1,2,7,2,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/lint-staged.config.js,50
88,ArrayExpression,,-1,-1,3,10,3,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/lint-staged.config.js,51
89,Program,,-1,-1,1,0,3,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/src/cjs.js,52
90,VariableDeclaration,,-1,-1,1,0,1,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/src/cjs.js,53
92,Identifier,loader,-1,-1,1,6,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/src/cjs.js,54
93,CallExpression,require,-1,1,1,15,1,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/src/cjs.js,55
94,Identifier,require,-1,-1,1,15,1,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/src/cjs.js,56
98,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/sass-loader/src/cjs.js,57
