id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,77,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
2,ExportDefaultDeclaration,,-1,-1,1,0,77,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
3,FunctionDeclaration,benchmark,2,-1,1,15,77,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
4,Identifier,benchmark,-1,-1,1,24,1,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
5,Identifier,uuid,-1,-1,1,34,1,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
6,Identifier,Benchmark,-1,-1,1,40,1,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
9,CallExpression,log,-1,1,2,2,2,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
11,Identifier,console,-1,-1,2,2,2,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
12,Identifier,log,-1,-1,2,10,2,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
13,FunctionDeclaration,testParseAndStringify,0,-1,4,2,30,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
14,Identifier,testParseAndStringify,-1,-1,4,11,4,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
16,VariableDeclaration,,-1,-1,5,4,9,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
18,Identifier,suite,-1,-1,5,10,5,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
19,NewExpression,Suite,-1,1,5,18,9,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
21,Identifier,Suite,-1,-1,5,32,5,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
22,ObjectExpression,,-1,-1,5,38,9,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
24,Identifier,onError,-1,-1,6,6,6,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
25,FunctionExpression,,1,-1,6,13,8,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
26,Identifier,event,-1,-1,6,14,6,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
29,CallExpression,error,-1,1,7,8,7,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
31,Identifier,error,-1,-1,7,16,7,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
34,Identifier,target,-1,-1,7,28,7,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
35,VariableDeclaration,,-1,-1,11,4,14,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
37,Identifier,BYTES,-1,-1,11,10,11,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
38,ArrayExpression,,-1,-1,11,18,14,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
40,CallExpression,run,-1,0,16,4,29,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
42,CallExpression,on,-1,2,16,4,28,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
44,CallExpression,on,-1,2,16,4,25,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
46,CallExpression,add,-1,2,16,4,22,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
48,CallExpression,add,-1,2,16,4,19,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
50,Identifier,add,-1,-1,17,7,17,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
51,FunctionExpression,,0,-1,17,31,19,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
54,CallExpression,stringify,-1,1,18,8,18,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
56,Identifier,stringify,-1,-1,18,13,18,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
57,FunctionExpression,,0,-1,20,27,22,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
60,CallExpression,parse,-1,1,21,8,21,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
62,Identifier,parse,-1,-1,21,13,21,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
63,Identifier,on,-1,-1,23,7,23,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
64,FunctionExpression,,1,-1,23,19,25,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
67,CallExpression,log,-1,1,24,8,24,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
69,CallExpression,toString,-1,0,24,20,24,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
72,Identifier,toString,-1,-1,24,33,24,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
73,FunctionExpression,,0,-1,26,22,28,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
76,CallExpression,log,-1,1,27,8,27,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
78,Identifier,run,-1,-1,29,7,29,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
79,FunctionDeclaration,testGeneration,0,-1,32,2,73,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
80,Identifier,testGeneration,-1,-1,32,11,32,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
82,VariableDeclaration,,-1,-1,33,4,33,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
84,Identifier,array,-1,-1,33,10,33,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
85,NewExpression,Array,-1,1,33,18,33,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
86,Identifier,Array,-1,-1,33,22,33,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
87,VariableDeclaration,,-1,-1,35,4,39,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
89,NewExpression,Suite,-1,1,35,18,39,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
91,ObjectExpression,,-1,-1,35,38,39,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
93,FunctionExpression,,1,-1,36,13,38,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
96,CallExpression,error,-1,1,37,8,37,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
101,CallExpression,run,-1,0,41,4,72,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
103,CallExpression,on,-1,2,41,4,71,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
105,CallExpression,on,-1,2,41,4,68,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
107,CallExpression,add,-1,2,41,4,65,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
109,CallExpression,add,-1,2,41,4,62,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
111,CallExpression,add,-1,2,41,4,59,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
113,CallExpression,add,-1,2,41,4,56,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
115,CallExpression,add,-1,2,41,4,53,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
117,CallExpression,add,-1,2,41,4,44,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
119,FunctionExpression,,0,-1,42,24,44,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
122,CallExpression,v1,-1,0,43,8,43,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
124,Identifier,v1,-1,-1,43,13,43,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
125,FunctionExpression,,0,-1,45,44,53,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
127,TryStatement,,-1,-1,46,8,52,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
130,CallExpression,v1,-1,3,47,10,47,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
132,CatchClause,,-1,-1,48,10,52,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
133,Identifier,err,-1,-1,48,17,48,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
135,FunctionExpression,,0,-1,54,24,56,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
138,CallExpression,v4,-1,0,55,8,55,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
140,Identifier,v4,-1,-1,55,13,55,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
141,FunctionExpression,,0,-1,57,44,59,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
144,CallExpression,v4,-1,3,58,8,58,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
146,FunctionExpression,,0,-1,60,24,62,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
149,CallExpression,v3,-1,2,61,8,61,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
151,Identifier,v3,-1,-1,61,13,61,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
154,Identifier,DNS,-1,-1,61,45,61,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
155,FunctionExpression,,0,-1,63,24,65,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
158,CallExpression,v5,-1,2,64,8,64,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
160,Identifier,v5,-1,-1,64,13,64,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
163,FunctionExpression,,1,-1,66,19,68,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
166,CallExpression,log,-1,1,67,8,67,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
168,CallExpression,toString,-1,0,67,20,67,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
171,FunctionExpression,,0,-1,69,22,71,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
174,CallExpression,log,-1,1,70,8,70,71,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
177,CallExpression,map,-1,1,70,36,70,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
179,CallExpression,filter,-1,1,70,36,70,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
182,Identifier,filter,-1,-1,70,41,70,47,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
183,Identifier,map,-1,-1,70,59,70,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
185,CallExpression,testParseAndStringify,-1,0,75,2,75,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
187,CallExpression,testGeneration,-1,0,76,2,76,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/benchmark.js
188,Program,,-1,-1,1,0,7,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
189,ImportDeclaration,,-1,-1,1,0,1,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
190,ImportNamespaceSpecifier,,-1,-1,1,7,1,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
191,Identifier,uuid,-1,-1,1,12,1,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
192,ImportDeclaration,,-1,-1,2,0,2,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
193,ImportDeclaration,,-1,-1,3,0,3,47,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
194,ImportDeclaration,,-1,-1,5,0,5,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
195,ImportDefaultSpecifier,,-1,-1,5,7,5,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
196,Identifier,benchmark,-1,-1,5,7,5,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
198,CallExpression,benchmark,-1,2,7,0,7,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
200,Identifier,window,-1,-1,7,16,7,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
201,Identifier,Benchmark,-1,-1,7,23,7,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/browser.js
202,Program,,-1,-1,1,0,6,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
203,ImportDeclaration,,-1,-1,1,0,1,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
204,ImportNamespaceSpecifier,,-1,-1,1,7,1,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
205,Identifier,uuid,-1,-1,1,12,1,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
206,ImportDeclaration,,-1,-1,2,0,2,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
207,ImportDefaultSpecifier,,-1,-1,2,7,2,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
208,Identifier,Benchmark,-1,-1,2,7,2,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
209,ImportDeclaration,,-1,-1,4,0,4,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
210,ImportDefaultSpecifier,,-1,-1,4,7,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
211,Identifier,benchmark,-1,-1,4,7,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
213,CallExpression,benchmark,-1,2,6,0,6,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/benchmark/node.js
214,Program,,-1,-1,1,0,66,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
215,ImportDeclaration,,-1,-1,1,0,11,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
216,ImportSpecifier,,-1,-1,2,2,2,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
217,Identifier,NIL,-1,-1,2,2,2,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
218,Identifier,NIL_UUID,-1,-1,2,9,2,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
219,ImportSpecifier,,-1,-1,3,2,3,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
220,Identifier,parse,-1,-1,3,2,3,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
221,Identifier,uuidParse,-1,-1,3,11,3,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
222,ImportSpecifier,,-1,-1,4,2,4,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
223,Identifier,stringify,-1,-1,4,2,4,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
224,Identifier,uuidStringify,-1,-1,4,15,4,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
225,ImportSpecifier,,-1,-1,5,2,5,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
226,Identifier,v1,-1,-1,5,2,5,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
227,Identifier,uuidv1,-1,-1,5,8,5,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
228,ImportSpecifier,,-1,-1,6,2,6,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
229,Identifier,v3,-1,-1,6,2,6,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
230,Identifier,uuidv3,-1,-1,6,8,6,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
231,ImportSpecifier,,-1,-1,7,2,7,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
232,Identifier,v4,-1,-1,7,2,7,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
233,Identifier,uuidv4,-1,-1,7,8,7,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
234,ImportSpecifier,,-1,-1,8,2,8,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
235,Identifier,v5,-1,-1,8,2,8,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
236,Identifier,uuidv5,-1,-1,8,8,8,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
237,ImportSpecifier,,-1,-1,9,2,9,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
238,Identifier,validate,-1,-1,9,2,9,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
239,Identifier,uuidValidate,-1,-1,9,14,9,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
240,ImportSpecifier,,-1,-1,10,2,10,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
241,Identifier,version,-1,-1,10,2,10,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
242,Identifier,uuidVersion,-1,-1,10,13,10,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
243,ImportDeclaration,,-1,-1,12,0,12,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
244,ImportNamespaceSpecifier,,-1,-1,12,7,12,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
245,Identifier,uuid,-1,-1,12,12,12,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
247,CallExpression,log,-1,2,14,0,14,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
249,Identifier,console,-1,-1,14,0,14,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
250,Identifier,log,-1,-1,14,8,14,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
251,CallExpression,uuidv1,-1,0,14,24,14,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
253,CallExpression,log,-1,2,16,0,16,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
255,CallExpression,uuidv4,-1,0,16,24,16,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
257,CallExpression,log,-1,2,19,0,19,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
259,CallExpression,uuidv3,-1,2,19,28,19,67,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
261,Identifier,DNS,-1,-1,19,63,19,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
263,CallExpression,log,-1,2,22,0,22,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
265,CallExpression,uuidv3,-1,2,22,28,22,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
267,Identifier,URL,-1,-1,22,70,22,73,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
268,VariableDeclaration,,-1,-1,28,0,28,60,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
270,Identifier,MY_NAMESPACE,-1,-1,28,6,28,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
272,CallExpression,log,-1,2,29,0,29,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
274,CallExpression,uuidv3,-1,2,29,37,29,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
276,CallExpression,log,-1,2,32,0,32,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
278,CallExpression,uuidv5,-1,2,32,28,32,67,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
281,CallExpression,log,-1,2,35,0,35,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
283,CallExpression,uuidv5,-1,2,35,28,35,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
286,CallExpression,log,-1,2,42,0,42,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
288,CallExpression,uuidv5,-1,2,42,37,42,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
290,CallExpression,log,-1,2,45,0,45,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
293,CallExpression,log,-1,2,46,0,46,51,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
295,CallExpression,uuidParse,-1,1,46,27,46,50,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
297,CallExpression,log,-1,2,47,0,47,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
299,CallExpression,uuidStringify,-1,1,47,31,47,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
300,CallExpression,uuidParse,-1,1,47,45,47,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
302,CallExpression,log,-1,2,48,0,48,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
304,CallExpression,uuidValidate,-1,1,48,30,48,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
306,CallExpression,log,-1,2,49,0,49,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/uuid/examples/browser-esmodules/example.js
